threads,size,time(usecs)
2,2500,153
2,2500,89
2,2500,86
2,2500,81
2,2500,69
2,2500,87
2,2500,83
2,2500,102
2,2500,87
2,2500,80
2,2500,88
2,2500,78
2,2500,76
2,2500,82
2,2500,80
2,2500,42
2,2500,74
2,2500,86
2,2500,84
2,2500,88
4,2500,188
4,2500,84
4,2500,86
4,2500,84
4,2500,56
4,2500,91
4,2500,89
4,2500,94
4,2500,52
4,2500,96
4,2500,69
4,2500,86
4,2500,61
4,2500,90
4,2500,52
4,2500,52
4,2500,83
4,2500,82
4,2500,84
4,2500,50
6,2500,179
6,2500,88
6,2500,88
6,2500,65
6,2500,93
6,2500,74
6,2500,89
6,2500,64
6,2500,96
6,2500,77
6,2500,76
6,2500,56
6,2500,73
6,2500,76
6,2500,85
6,2500,56
6,2500,89
6,2500,71
6,2500,77
6,2500,53
8,2500,1477
8,2500,103
8,2500,98
8,2500,86
8,2500,81
8,2500,2939
8,2500,96
8,2500,94
8,2500,63
8,2500,86
8,2500,92
8,2500,92
8,2500,66
8,2500,91
8,2500,88
8,2500,84
8,2500,64
8,2500,87
8,2500,93
8,2500,91
10,2500,152
10,2500,110
10,2500,96
10,2500,100
10,2500,110
10,2500,92
10,2500,100
10,2500,79
10,2500,104
10,2500,70
10,2500,105
10,2500,101
10,2500,107
10,2500,72
10,2500,103
10,2500,97
10,2500,113
10,2500,65
10,2500,102
10,2500,82
12,2500,1081
12,2500,70
12,2500,100
12,2500,104
12,2500,107
12,2500,86
12,2500,103
12,2500,103
12,2500,102
12,2500,102
12,2500,117
12,2500,102
12,2500,102
12,2500,99
12,2500,91
12,2500,100
12,2500,106
12,2500,108
12,2500,85
12,2500,106
16,2500,789
16,2500,96
16,2500,112
16,2500,112
16,2500,110
16,2500,101
16,2500,128
16,2500,113
16,2500,115
16,2500,120
16,2500,117
16,2500,111
16,2500,109
16,2500,112
16,2500,96
16,2500,108
16,2500,110
16,2500,109
16,2500,101
16,2500,109
20,2500,2161
20,2500,122
20,2500,134
20,2500,109
20,2500,112
20,2500,116
20,2500,115
20,2500,131
20,2500,110
20,2500,127
20,2500,118
20,2500,130
20,2500,98
20,2500,131
20,2500,130
20,2500,131
20,2500,118
20,2500,139
20,2500,159
20,2500,117
24,2500,282
24,2500,129
24,2500,130
24,2500,120
24,2500,137
24,2500,142
24,2500,135
24,2500,148
24,2500,118
24,2500,143
24,2500,136
24,2500,142
24,2500,147
24,2500,123
24,2500,136
24,2500,141
24,2500,134
24,2500,149
24,2500,129
24,2500,138
28,2500,4410
28,2500,152
28,2500,152
28,2500,163
28,2500,120
28,2500,154
28,2500,159
28,2500,151
28,2500,150
28,2500,150
28,2500,153
28,2500,144
28,2500,2154
28,2500,153
28,2500,145
28,2500,153
28,2500,163
28,2500,176
28,2500,151
28,2500,153
32,2500,4109
32,2500,174
32,2500,149
32,2500,1281
32,2500,158
32,2500,159
32,2500,155
32,2500,197
32,2500,175
32,2500,179
32,2500,157
32,2500,163
32,2500,159
32,2500,189
32,2500,186
32,2500,161
32,2500,157
32,2500,165
32,2500,171
32,2500,169
38,2500,8609
38,2500,7000
38,2500,6411
38,2500,6222
38,2500,6340
38,2500,7603
38,2500,4889
38,2500,6365
38,2500,4218
38,2500,6444
38,2500,4209
38,2500,6478
38,2500,6432
38,2500,6276
38,2500,1881
38,2500,2155
38,2500,4264
38,2500,5051
38,2500,6483
38,2500,2334
40,2500,8267
40,2500,4162
40,2500,8354
40,2500,8163
