threads,size,time(usecs)
1,786432,1972
1,786432,2104
1,786432,2101
1,786432,2087
1,786432,2097
1,786432,2099
1,786432,2104
1,786432,2098
1,786432,2096
1,786432,2096
1,786432,2093
1,786432,2094
1,786432,2110
1,786432,2091
1,786432,2109
1,786432,2091
1,786432,2101
1,786432,2087
1,786432,2102
1,786432,2096
1,3145728,7861
1,3145728,11765
1,3145728,11710
1,3145728,11773
1,3145728,11709
1,3145728,11733
1,3145728,11710
1,3145728,11712
1,3145728,11726
1,3145728,11706
1,3145728,11714
1,3145728,11723
1,3145728,11733
1,3145728,11708
1,3145728,11715
1,3145728,11709
1,3145728,11730
1,3145728,11715
1,3145728,11708
1,3145728,11720
1,12582912,31442
1,12582912,31423
1,12582912,31375
1,12582912,31408
1,12582912,31434
1,12582912,31449
1,12582912,31405
1,12582912,31385
1,12582912,31521
1,12582912,31398
1,12582912,31437
1,12582912,31456
1,12582912,31381
1,12582912,31420
1,12582912,31417
1,12582912,31452
1,12582912,31366
1,12582912,31381
1,12582912,31375
1,12582912,31464
1,50331648,125220
1,50331648,125199
1,50331648,125274
1,50331648,125319
1,50331648,125296
1,50331648,125295
1,50331648,125311
1,50331648,125292
1,50331648,125275
1,50331648,125361
1,50331648,125304
1,50331648,125284
1,50331648,125356
1,50331648,125170
1,50331648,125362
1,50331648,125335
1,50331648,125392
1,50331648,125336
1,50331648,125366
1,50331648,125198
1,201326592,503220
1,201326592,501790
1,201326592,502015
1,201326592,502133
1,201326592,502082
1,201326592,502098
1,201326592,502047
1,201326592,502034
1,201326592,502208
1,201326592,502240
1,201326592,502073
1,201326592,502708
1,201326592,502384
1,201326592,502388
1,201326592,502346
1,201326592,502401
1,201326592,502248
1,201326592,502502
1,201326592,734904
1,201326592,502494
1,805306368,2026934
1,805306368,2022413
1,805306368,2024894
1,805306368,2022822
1,805306368,2023082
1,805306368,2020245
1,805306368,2021315
1,805306368,2023529
1,805306368,2022996
1,805306368,2023072
1,805306368,2023069
1,805306368,2023395
1,805306368,2023847
1,805306368,2021863
1,805306368,2021428
1,805306368,2021941
1,805306368,2021560
1,805306368,2022600
1,805306368,2022743
1,805306368,2023058
